variant,qid,query_class,difficulty,status,den_acc,exec_ok,join_hall,ir_attempts,latency_s
M-noverifier,Q017,path_relation,medium,accept,1,1,0,1,2.121
M-noverifier,Q019,temporal_trend,medium,accept,1,1,0,1,2.445
M-noverifier,Q020,temporal_trend,medium,accept,1,1,0,1,2.556
M-noverifier,Q022,temporal_trend,medium,accept,1,1,0,1,2.677
M-noverifier,Q023,temporal_trend,medium,accept,1,1,0,1,2.906
M-noverifier,Q024,temporal_trend,medium,accept,1,1,0,1,2.694
M-noverifier,Q025,delay_analysis,hard,accept,1,1,0,1,2.562
M-noverifier,Q027,delay_analysis,hard,accept,1,1,0,1,2.275
M-noverifier,Q028,anomaly_filter,hard,accept,1,1,0,1,2.603
M-noverifier,Q029,anomaly_filter,hard,accept,1,1,0,1,2.612
M-noverifier,Q031,count_filter,easy,accept,1,1,0,1,1.971
M-noverifier,Q032,count_filter,easy,accept,1,1,0,1,2.1
M-noverifier,Q033,count_filter,easy,accept,1,1,0,1,2.221
M-noverifier,Q034,count_filter,easy,accept,1,1,0,1,2.276
M-noverifier,Q036,temporal_trend,medium,accept,1,1,0,1,2.641
M-noverifier,Q037,temporal_trend,medium,accept,1,1,0,1,2.476
M-noverifier,Q038,count_filter,easy,accept,1,1,0,1,2.268
M-noverifier,Q039,path_relation,medium,accept,1,1,0,1,2.009
M-noverifier,Q041,temporal_trend,medium,accept,1,1,0,1,2.536
M-noverifier,Q042,delay_analysis,hard,accept,1,1,0,1,2.295
M-noverifier,Q045,count_filter,easy,accept,1,1,0,1,2.2
M-noverifier,Q046,path_relation,medium,accept,1,1,0,1,1.437
M-noverifier,Q047,path_relation,hard,accept,0,1,0,1,2.533
M-noverifier,Q048,path_relation,medium,accept,1,1,0,1,3.152
M-noverifier,Q049,count_filter,easy,accept,1,1,0,1,1.971
M-noverifier,Q051,temporal_trend,medium,accept,1,1,0,1,2.728
M-noverifier,Q052,temporal_trend,medium,accept,1,1,0,1,2.586
M-noverifier,Q053,temporal_trend,medium,accept,1,1,0,1,3.095
M-noverifier,Q054,temporal_trend,medium,accept,1,1,0,1,2.887
M-noverifier,Q057,group_topk,easy,accept,1,1,0,1,2.197
M-noverifier,Q058,group_topk,medium,exec_error,0,0,0,1,2.749
M-noverifier,Q059,group_topk,medium,accept,0,1,0,1,2.464
M-noverifier,Q062,path_relation,easy,accept,1,1,0,1,1.962
M-noverifier,Q063,path_relation,medium,accept,1,1,0,1,1.442
M-noverifier,Q065,delay_analysis,hard,accept,1,1,0,1,2.315
M-noverifier,Q066,delay_analysis,hard,reject,0,0,0,1,2.276
M-noverifier,Q067,delay_analysis,hard,accept,1,1,0,1,2.29
M-noverifier,Q068,delay_analysis,hard,accept,0,1,0,1,2.258
M-noverifier,Q069,delay_analysis,hard,reject,0,0,0,1,2.253
M-noverifier,Q070,delay_analysis,hard,reject,0,0,0,1,2.258
M-noverifier,Q075,anomaly_filter,hard,exec_error,0,0,0,1,2.25
M-noverifier,Q076,anomaly_filter,hard,accept,0,1,0,1,3.135
M-noverifier,Q077,anomaly_filter,hard,accept,0,1,0,1,2.375
M-noverifier,Q078,anomaly_filter,hard,reject,0,0,0,1,2.091
M-noverifier,Q079,anomaly_filter,hard,accept,1,1,0,1,2.551
M-noverifier,Q080,anomaly_filter,hard,accept,1,1,0,1,2.804
M-noverifier,Q085,window_agg,medium,accept,1,1,0,1,3.193
M-noverifier,Q086,window_agg,medium,exec_error,0,0,0,1,2.813
M-noverifier,Q087,window_agg,medium,accept,0,1,0,1,2.088
M-noverifier,Q088,window_agg,medium,reject,0,0,0,1,2.767
M-noverifier,Q089,window_agg,medium,reject,0,0,0,1,3.026
M-noverifier,Q090,window_agg,hard,reject,0,0,0,1,4.509
M-noverifier,Q091,window_agg,hard,accept,1,1,0,1,3.181
M-noverifier,Q097,nested_agg,hard,accept,1,1,0,1,2.316
M-noverifier,Q098,nested_agg,hard,accept,1,1,0,1,2.246
M-noverifier,Q099,nested_agg,hard,reject,0,0,0,1,2.916
M-noverifier,Q100,nested_agg,hard,exec_error,0,0,0,1,3.278
M-noverifier,Q101,nested_agg,hard,accept,1,1,0,1,2.641
M-noverifier,Q102,nested_agg,hard,accept,1,1,0,1,2.976
M-noverifier,Q109,conformance,medium,accept,1,1,0,1,1.539
M-noverifier,Q110,conformance,medium,accept,0,1,0,1,1.777
M-noverifier,Q111,conformance,medium,accept,1,1,0,1,1.571
M-noverifier,Q112,conformance,hard,accept,0,1,0,1,1.456
M-noverifier,Q113,conformance,hard,exec_error,0,0,0,1,2.296
M-noverifier,Q114,conformance,hard,accept,1,1,0,1,3.099
